function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9
response_class,diagnostic_signed_extreme,0,0,1,0,4,97036,97038,96872,52,44598,52386,5792,27564,17742,7556,120896,12,960,4096,0,3712,1528,960,2048,204800,12800,27520,1920,1280,2421,462,1,16,36,32,42646,1920,4,7072,45310,1
response_class,diagnostic_signed_extreme,0,1,0,0,4,70668,70670,70580,24,41856,28788,3152,7068,17280,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,24352,1
response_class,diagnostic_signed_extreme,0,1,1,0,4,76676,76678,76512,52,44598,32026,5915,7086,17737,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,2210,457,1,16,36,32,42646,1920,4,7195,24827,1
response_class,diagnostic_signed_extreme,0,2,0,0,4,67148,67150,67076,24,38336,28788,3152,7068,17280,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4432,24352,1
response_class,diagnostic_signed_extreme,0,2,1,0,4,78161,78163,78021,52,46078,32031,5920,7084,17739,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,3084,459,1,16,36,32,44126,1920,4,7200,24827,1
response_class,diagnostic_signed_extreme,0,3,0,0,4,67084,67086,67012,24,38272,28788,3152,7068,17280,9492,151872,12,672,3584,3328,3104,1576,320,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36320,1920,4,4432,24352,1
response_class,diagnostic_signed_extreme,0,3,1,0,4,78133,78135,78002,52,46061,32020,5904,7086,17742,9492,151872,12,672,3584,3328,3104,1576,320,1792,179200,12800,7040,1920,1280,2603,462,1,16,36,32,44109,1920,4,7184,24832,1
original,train0,1,0,0,0,4,68604,68606,68516,24,41856,26724,3056,9932,12448,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8240,9904,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,22384,1
original,train0,1,0,1,0,4,74685,74688,74521,52,44598,30035,5781,9949,13017,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8240,9904,1920,1280,2631,569,1,16,36,32,42646,1920,4,7061,22970,2
original,train0,1,1,0,0,4,61648,61650,61560,24,41856,19768,3152,2880,12448,9140,146240,12,960,4096,0,3712,1576,2496,2048,204800,8240,2852,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,15332,1
original,train0,1,1,1,0,4,67799,67801,67635,52,44598,23149,5920,2933,13008,9140,146240,12,960,4096,0,3712,1576,2496,2048,204800,8240,2852,1920,1280,2994,560,1,16,36,32,42646,1920,4,7200,15945,1
original,train0,1,2,0,0,4,56101,56103,56029,24,36309,19768,3152,2880,12448,11929,190864,12,672,3380,3793,3481,1576,2496,1690,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4432,15332,1
original,train0,1,2,1,0,4,67007,67009,66867,52,43788,23167,5931,2934,13014,11929,190864,12,672,3380,3793,3481,1576,2496,1690,169000,8240,2852,1920,1280,3736,566,1,16,36,32,41836,1920,4,7211,15952,1
original,train1,1,0,0,0,4,68936,68938,68848,24,41856,27056,3056,9592,13120,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8920,9564,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,22716,1
original,train1,1,0,1,0,4,74982,74984,74818,52,44598,30332,5778,9611,13655,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8920,9564,1920,1280,2587,535,1,16,36,32,42646,1920,4,7058,23270,1
original,train1,1,1,0,0,4,62240,62242,62152,24,41856,20360,3152,2800,13120,9012,144192,12,960,4096,0,3712,1576,2368,2048,204800,8920,2772,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,15924,1
original,train1,1,1,1,0,4,68415,68417,68251,52,44598,23765,5921,2899,13657,9012,144192,12,960,4096,0,3712,1576,2368,2048,204800,8920,2772,1920,1280,2810,537,1,16,36,32,42646,1920,4,7201,16560,1
original,train1,1,2,0,0,4,56288,56290,56216,24,35904,20360,3152,2800,13120,11747,187952,12,672,3338,3781,3453,1576,2368,1669,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4432,15924,1
original,train1,1,2,1,0,4,67128,67130,66988,52,43317,23759,5911,2892,13668,11743,187888,12,672,3338,3777,3452,1576,2368,1669,166900,8920,2772,1920,1280,3623,548,1,16,36,32,41365,1920,4,7191,16564,1
original,diagnostic_zero,0,0,0,0,4,50196,50198,50108,24,41856,8316,3056,4,3968,6596,105536,12,960,4096,0,3712,1528,0,2048,204800,0,0,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,3976,1
original,diagnostic_zero,0,0,1,0,4,56121,56124,55957,52,44598,11471,5777,4,4402,6596,105536,12,960,4096,0,3712,1528,0,2048,204800,0,0,1920,1280,2090,434,1,16,36,32,42646,1920,4,7057,4410,2
original,diagnostic_zero,0,1,0,0,4,50292,50294,50204,24,41856,8412,3152,4,3968,6644,106304,12,960,4096,0,3712,1576,0,2048,204800,0,0,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,3976,1
original,diagnostic_zero,0,1,1,0,4,56272,56274,56108,52,44598,11622,5929,4,4401,6644,106304,12,960,4096,0,3712,1576,0,2048,204800,0,0,1920,1280,2103,433,1,16,36,32,42646,1920,4,7209,4409,1
original,diagnostic_zero,0,2,0,0,4,35892,35894,35820,24,27456,8412,3152,4,3968,6772,108352,12,672,2496,2016,1824,1576,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4432,3976,1
original,diagnostic_zero,0,2,1,0,4,44767,44769,44627,52,33131,11584,5887,4,4405,6772,108352,12,672,2496,2016,1824,1576,0,1248,124800,0,0,1920,1280,2519,437,1,16,36,32,31179,1920,4,7167,4413,1
original,diagnostic_signed_extreme,0,0,0,0,4,91052,91054,90964,24,41856,49172,3056,27548,17280,7556,120896,12,960,4096,0,3712,1528,960,2048,204800,12800,27520,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,44832,1
original,diagnostic_signed_extreme,0,0,1,0,4,97036,97038,96872,52,44598,52386,5792,27564,17742,7556,120896,12,960,4096,0,3712,1528,960,2048,204800,12800,27520,1920,1280,2421,462,1,16,36,32,42646,1920,4,7072,45310,1
original,diagnostic_signed_extreme,0,1,0,0,4,70668,70670,70580,24,41856,28788,3152,7068,17280,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,24352,1
original,diagnostic_signed_extreme,0,1,1,0,4,76676,76678,76512,52,44598,32026,5915,7086,17737,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,2210,457,1,16,36,32,42646,1920,4,7195,24827,1
original,diagnostic_signed_extreme,0,2,0,0,4,67148,67150,67076,24,38336,28788,3152,7068,17280,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4432,24352,1
original,diagnostic_signed_extreme,0,2,1,0,4,78161,78163,78021,52,46078,32031,5920,7084,17739,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,3084,459,1,16,36,32,44126,1920,4,7200,24827,1
response_class,train0,1,0,0,1,4,68556,68558,68468,24,41856,26676,3056,9884,12448,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8240,9852,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,22336,1
response_class,train0,1,0,1,1,4,74619,74623,74455,52,44598,29969,5777,9900,13004,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8240,9852,1920,1280,2630,556,1,16,36,32,42646,1920,4,7057,22908,3
response_class,train0,1,1,0,1,4,61648,61650,61560,24,41856,19768,3152,2880,12448,9140,146240,12,960,4096,0,3712,1576,2496,2048,204800,8240,2852,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,15332,1
response_class,train0,1,1,1,1,4,67799,67801,67635,52,44598,23149,5920,2933,13008,9140,146240,12,960,4096,0,3712,1576,2496,2048,204800,8240,2852,1920,1280,2994,560,1,16,36,32,42646,1920,4,7200,15945,1
response_class,train0,1,2,0,1,4,56101,56103,56029,24,36309,19768,3152,2880,12448,11929,190864,12,672,3380,3793,3481,1576,2496,1690,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4432,15332,1
response_class,train0,1,2,1,1,4,67007,67009,66867,52,43788,23167,5931,2934,13014,11929,190864,12,672,3380,3793,3481,1576,2496,1690,169000,8240,2852,1920,1280,3736,566,1,16,36,32,41836,1920,4,7211,15952,1
response_class,train0,1,3,0,1,4,56063,56065,55991,24,36271,19768,3152,2880,12448,11658,186528,12,672,3376,3750,3436,1576,2272,1688,168800,8240,2852,1920,1280,0,0,1,12,12,32,34319,1920,4,4432,15332,1
response_class,train0,1,3,1,1,4,67029,67031,66898,52,43852,23125,5913,2916,13008,11658,186528,12,672,3376,3750,3436,1576,2272,1688,168800,8240,2852,1920,1280,3615,560,1,16,36,32,41900,1920,4,7193,15928,1
response_class,train1,1,0,0,1,4,68920,68922,68832,24,41856,27040,3056,9576,13120,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8920,9544,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,22700,1
response_class,train1,1,0,1,1,4,74982,74984,74818,52,44598,30332,5778,9595,13671,8132,130112,12,960,4096,0,3712,1528,1536,2048,204800,8920,9544,1920,1280,2592,551,1,16,36,32,42646,1920,4,7058,23270,1
response_class,train1,1,1,0,1,4,62240,62242,62152,24,41856,20360,3152,2800,13120,9012,144192,12,960,4096,0,3712,1576,2368,2048,204800,8920,2772,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,15924,1
response_class,train1,1,1,1,1,4,68415,68417,68251,52,44598,23765,5921,2899,13657,9012,144192,12,960,4096,0,3712,1576,2368,2048,204800,8920,2772,1920,1280,2810,537,1,16,36,32,42646,1920,4,7201,16560,1
response_class,train1,1,2,0,1,4,56288,56290,56216,24,35904,20360,3152,2800,13120,11747,187952,12,672,3338,3781,3453,1576,2368,1669,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4432,15924,1
response_class,train1,1,2,1,1,4,67128,67130,66988,52,43317,23759,5911,2892,13668,11743,187888,12,672,3338,3777,3452,1576,2368,1669,166900,8920,2772,1920,1280,3623,548,1,16,36,32,41365,1920,4,7191,16564,1
response_class,train1,1,3,0,1,4,56202,56204,56130,24,35818,20360,3152,2800,13120,11457,183312,12,672,3330,3691,3360,1576,2176,1665,166500,8920,2772,1920,1280,0,0,1,12,12,32,33866,1920,4,4432,15924,1
response_class,train1,1,3,1,1,4,67216,67218,67085,52,43407,23757,5906,2891,13672,11457,183312,12,672,3330,3691,3360,1576,2176,1665,166500,8920,2772,1920,1280,3500,552,1,16,36,32,41455,1920,4,7186,16567,1
response_class,diagnostic_zero,0,0,0,1,4,50196,50198,50108,24,41856,8316,3056,4,3968,6596,105536,12,960,4096,0,3712,1528,0,2048,204800,0,0,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,3976,1
response_class,diagnostic_zero,0,0,1,1,4,56121,56124,55957,52,44598,11471,5777,4,4402,6596,105536,12,960,4096,0,3712,1528,0,2048,204800,0,0,1920,1280,2090,434,1,16,36,32,42646,1920,4,7057,4410,2
response_class,diagnostic_zero,0,1,0,1,4,50292,50294,50204,24,41856,8412,3152,4,3968,6644,106304,12,960,4096,0,3712,1576,0,2048,204800,0,0,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,3976,1
response_class,diagnostic_zero,0,1,1,1,4,56272,56274,56108,52,44598,11622,5929,4,4401,6644,106304,12,960,4096,0,3712,1576,0,2048,204800,0,0,1920,1280,2103,433,1,16,36,32,42646,1920,4,7209,4409,1
response_class,diagnostic_zero,0,2,0,1,4,35892,35894,35820,24,27456,8412,3152,4,3968,6772,108352,12,672,2496,2016,1824,1576,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4432,3976,1
