case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,1,2,1,1,1,0,0,0,1291,49,49,490,4900,224,98,105,96,0,0,1,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,2,1,1,1,0,0,1,1291,49,49,490,4900,224,98,105,96,0,0,1,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,2,1,1,1,0,1,0,1291,49,49,490,4900,224,98,105,96,0,0,4,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,2,1,1,1,0,1,1,1291,49,49,490,4900,224,98,105,96,0,0,4,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,2,1,1,1,1,0,0,1203,55,44,398,3980,230,110,99,80,0,6,2,304,76,2,1,30,57,6,153,0,288,44,440,132,44,0,8,1
train0_p0,1,1,2,1,1,1,1,0,1,1186,55,44,398,3980,239,110,108,96,0,6,2,328,84,4,1,30,57,6,128,0,294,44,440,132,44,0,10,1
train0_p0,1,1,2,1,1,1,1,1,0,1196,55,44,398,3980,218,98,99,80,6,0,4,304,72,0,1,30,57,6,162,0,274,44,440,132,44,0,6,1
train0_p0,1,1,2,1,1,1,1,1,1,1181,55,44,398,3980,227,98,108,96,6,0,4,328,79,7,1,30,57,6,132,0,282,44,440,132,44,0,13,1
train0_p0,1,1,3,0,1,1,0,0,0,1047,49,49,490,4900,219,98,100,91,0,0,1,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,0,1,1,0,0,1,1047,49,49,490,4900,219,98,100,91,0,0,1,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,0,1,1,0,1,0,1047,49,49,490,4900,219,98,100,91,0,0,4,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,0,1,1,0,1,1,1047,49,49,490,4900,219,98,100,91,0,0,4,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,0,1,1,1,0,0,959,55,44,398,3980,226,110,95,76,0,6,2,303,0,0,1,21,21,6,110,0,134,44,440,132,44,0,6,1
train0_p0,1,1,3,0,1,1,1,0,1,954,55,44,398,3980,234,110,103,91,0,6,2,327,0,0,1,21,21,6,105,0,134,44,440,132,44,0,6,1
train0_p0,1,1,3,0,1,1,1,1,0,955,55,44,398,3980,214,98,95,76,6,0,4,303,0,0,1,21,21,6,110,0,130,44,440,132,44,0,6,1
train0_p0,1,1,3,0,1,1,1,1,1,950,55,44,398,3980,222,98,103,91,6,0,4,327,0,0,1,21,21,6,105,0,130,44,440,132,44,0,6,1
train0_p0,1,1,3,1,1,1,0,0,0,1276,49,49,490,4900,219,98,100,91,0,0,1,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,0,0,1,1276,49,49,490,4900,219,98,100,91,0,0,1,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,0,1,0,1276,49,49,490,4900,219,98,100,91,0,0,4,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,0,1,1,1276,49,49,490,4900,219,98,100,91,0,0,4,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,1,0,0,1203,55,44,398,3980,226,110,95,76,0,6,2,303,86,2,1,27,54,6,147,0,300,44,440,132,44,0,8,1
train0_p0,1,1,3,1,1,1,1,0,1,1170,55,44,398,3980,234,110,103,91,0,6,2,327,83,1,1,27,54,6,129,0,286,44,440,132,44,0,7,1
train0_p0,1,1,3,1,1,1,1,1,0,1196,55,44,398,3980,214,98,95,76,6,0,4,303,78,0,1,27,54,6,153,0,289,44,440,132,44,0,6,1
train0_p0,1,1,3,1,1,1,1,1,1,1165,55,44,398,3980,222,98,103,91,6,0,4,327,81,0,1,27,54,6,130,0,281,44,440,132,44,0,6,1
train0_p1,1,1,1,0,1,1,0,0,0,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,0,1,1,0,0,1,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,1,1,1,0,0,0,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,1,1,1,1,0,0,1,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,2,0,1,1,0,0,0,1046,49,49,490,4900,216,98,97,90,0,0,1,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,0,0,1,1046,49,49,490,4900,216,98,97,90,0,0,1,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,0,1,0,1046,49,49,490,4900,216,98,97,90,0,0,4,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
