case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats	producer_calendar	source_writes	first_write	last_write	producer_write_wait	service_from_first_write
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	0	2580	2573	288	2626	38	648	5984	4754	17	0	0	0	0	2432	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	1	288	1	572	0	2573
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	1	6988	6981	288	2626	38	648	5984	4754	11	871	0	16	3	2432	2	4	4	2	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	1	288	1	572	0	6981
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	0	0	2580	2573	288	2626	38	648	5984	4754	17	0	0	0	0	2432	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	1	288	1	572	0	2573
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	0	1	6988	6981	288	2626	38	648	5984	4754	11	871	0	13	3	2432	2	4	4	2	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	1	288	1	572	0	6981
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	1	0	2580	2573	288	2626	38	648	5984	4754	17	0	0	0	0	2432	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	1	288	1	572	0	2573
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	1	1	6988	6981	288	2626	38	648	5984	4754	11	871	0	16	3	2432	2	4	4	2	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	1	288	1	572	0	6981
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	0	0	2580	2573	288	2626	38	648	5984	4754	17	0	0	0	0	2432	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	1	288	1	572	0	2573
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	0	1	6988	6981	288	2626	38	648	5984	4754	11	871	0	13	3	2432	2	4	4	2	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	1	288	1	572	0	6981
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	1	0	2580	2573	288	2626	38	648	5984	4754	17	0	0	0	0	2432	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	1	288	1	572	0	2573
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	1	1	6988	6981	288	2626	38	648	5984	4754	11	871	0	16	3	2432	2	4	4	2	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	1	288	1	572	0	6981
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	0	2706	2699	288	2626	38	648	13442	9145	284	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2699
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	1	7028	7021	288	2626	38	648	13442	9145	284	803	0	23	6	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85	0	0	288	1	72	0	7021
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	0	2606	2599	288	2626	38	648	13442	9145	284	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2599
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	1	7026	7019	288	2626	38	648	13442	9145	284	803	0	22	6	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85	0	0	288	1	72	0	7019
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	0	0	2709	2702	288	2626	38	648	13442	9145	284	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2702
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	0	1	7028	7021	288	2626	38	648	13442	9145	284	840	0	24	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	9	85	0	0	288	1	72	0	7021
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	1	0	2609	2602	288	2626	38	648	13442	9145	284	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2602
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	1	1	7026	7019	288	2626	38	648	13442	9145	284	840	0	37	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	9	85	0	0	288	1	72	0	7019
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	5	0	0	2706	2699	288	2626	38	648	13442	9145	284	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2699
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	5	0	1	7028	7021	288	2626	38	648	13442	9145	284	847	0	24	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	8	85	0	0	288	1	72	0	7021
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	5	1	0	2606	2599	288	2626	38	648	13442	9145	284	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2599
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	5	1	1	7026	7019	288	2626	38	648	13442	9145	284	847	0	37	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	8	85	0	0	288	1	72	0	7019
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	6	0	0	2706	2699	288	2626	38	648	13442	9145	284	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2699
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	6	0	1	7028	7021	288	2626	38	648	13442	9145	284	847	0	24	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	8	85	0	0	288	1	72	0	7021
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	6	1	0	2606	2599	288	2626	38	648	13442	9145	284	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	0	288	1	72	0	2599
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	6	1	1	7026	7019	288	2626	38	648	13442	9145	284	847	0	37	5	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	8	85	0	0	288	1	72	0	7019
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	0	2627	2620	288	2626	38	648	13442	9145	15	0	363	0	0	2080	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	1	288	1	572	0	2620
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	1	6971	6964	288	2626	38	648	13442	9145	9	874	0	28	3	2080	2	4	3	2	1	0	4	2622	0	0	0	378	379	386	386	12	85	0	1	288	1	572	0	6964
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	0	2527	2520	288	2626	38	648	13442	9145	12	0	0	0	0	2080	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	1	288	1	572	0	2520
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	1	6969	6962	288	2626	38	648	13442	9145	9	874	0	38	3	2080	2	4	3	2	1	0	4	2622	0	0	0	378	379	386	386	12	85	0	1	288	1	572	0	6962
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	0	0	2627	2620	288	2626	38	648	13442	9145	11	0	356	0	0	2080	2	4	4	2	0	0	4	2622	0	0	0	378	379	386	386	3	85	0	1	288	1	572	0	2620
