sample_id,module,kind,shape,population_per_channel,channels,eps,maximum_affine_reconstruction_error
1,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
1,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.9073486328125e-06
1,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,2.384185791015625e-06
2,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,2.86102294921875e-06
2,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,2.86102294921875e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
2,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
3,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,2.86102294921875e-06
4,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
4,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,2.384185791015625e-06
5,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,3072,15,20]",3000,3072,1e-05,1.430511474609375e-06
5,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,768,15,20]",3000,768,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,384,120,160]",192000,384,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,96,120,160]",192000,96,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,768,60,80]",48000,768,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,192,60,80]",48000,192,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn1.norm_layer,bn1,"[10,1,1536,30,40]",12000,1536,1e-05,1.430511474609375e-06
6,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.bn2.norm_layer,bn2,"[10,1,384,30,40]",12000,384,1e-05,1.9073486328125e-06
